songid,title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,
517,Wolves,Selena Gomez,dance pop,2018,125,80,72,-5,20,31,198,12,4,83,0
518,Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,44,26,-7,11,10,239,10,4,83,0
519,Attention,Charlie Puth,dance pop,2018,100,61,78,-5,13,80,209,11,5,83,0
520,Electricity (with Dua Lipa),Silk City,edm,2018,118,67,59,-6,34,51,238,1,5,82,0
522,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,103,71,66,-4,8,74,175,3,5,82,0
523,Silence,Marshmello,brostep,2018,142,76,52,-3,17,29,181,26,9,82,0
526,These Days,Rudimental,dance pop,2018,92,81,65,-4,17,55,211,19,5,80,0
527,What Lovers Do (feat. SZA),Maroon 5,pop,2018,110,60,80,-5,10,42,200,8,6,79,0
530,Bad At Love,Halsey,dance pop,2018,118,75,68,-4,9,61,181,6,3,78,0
531,Him & I (with Halsey),G-Eazy,hip hop,2018,88,73,59,-6,31,19,269,5,9,78,0
534,My My My!,Troye Sivan,dance pop,2018,103,46,70,-8,5,48,205,0,8,76,0
535,Capital Letters,Hailee Steinfeld,dance pop,2018,100,81,66,-6,5,46,219,3,8,76,0
536,Sick Boy,The Chainsmokers,electropop,2018,90,58,66,-8,12,45,193,11,5,76,0
537,Tequila,Dan + Shay,contemporary country,2018,86,59,47,-6,13,50,196,3,3,76,0
539,Youth (feat. Khalid),Shawn Mendes,canadian pop,2018,100,60,53,-7,13,32,191,56,12,75,0
540,Bad Liar,Selena Gomez,dance pop,2018,121,41,97,-6,8,73,215,19,7,75,0
541,Anywhere,Rita Ora,dance pop,2018,107,80,63,-4,10,32,215,4,6,74,0
544,Sign of the Times,Harry Styles,dance pop,2018,120,57,52,-5,11,21,341,3,3,72,0
545,Familiar,Liam Payne,dance pop,2018,93,81,64,-5,8,91,197,2,33,72,0
546,Let Me,ZAYN,dance pop,2018,168,57,46,-6,10,19,185,24,5,72,0
547,Supernova,Ansel Elgort,dance pop,2018,140,62,77,-5,21,68,191,6,10,72,0
548,Nervous,Shawn Mendes,canadian pop,2018,122,62,84,-7,13,74,164,4,8,71,0
549,First Time,Kygo,edm,2018,90,59,63,-7,10,68,194,20,11,71,0
551,Mi Gente (feat. Beyoncé),J Balvin,latin,2018,105,72,76,-6,23,47,210,2,8,68,0
552,Lemon,N.E.R.D,hip hop,2018,95,73,92,-7,12,20,220,0,9,68,0
553,For You (With Rita Ora),Liam Payne,dance pop,2018,113,80,54,-5,42,18,243,2,3,67,0
554,Want To,Dua Lipa,dance pop,2018,92,69,57,-5,6,32,212,8,12,67,0
555,What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,104,79,63,-4,16,41,220,5,6,67,0
556,Wait,Maroon 5,pop,2018,126,60,66,-5,11,45,191,10,6,67,0
558,Kissing Strangers,DNCE,dance pop,2018,120,74,77,-6,9,86,202,5,4,66,0
561,This Town,Niall Horan,dance pop,2018,112,41,68,-8,12,20,233,70,3,64,0
562,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018,94,69,73,-4,10,42,221,2,5,64,0
564,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018,100,64,75,-5,11,45,186,25,9,64,0
566,Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,130,69,63,-4,12,25,227,16,9,57,0
567,Ferrari,Bebe Rexha,dance pop,2018,77,48,58,-6,10,42,213,2,3,57,0
569,Boom Boom,RedOne,moroccan pop,2018,110,76,75,-8,20,58,248,0,5,53,0
571,Drip (feat. Migos),Cardi B,pop,2018,130,59,97,-8,8,27,264,5,26,45,0
573,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,99,0
574,Lose You To Love Me,Selena Gomez,dance pop,2019,102,34,51,-9,21,9,206,58,4,97,0
575,Someone You Loved,Lewis Capaldi,pop,2019,110,41,50,-6,11,45,182,75,3,96,0
576,Señorita,Shawn Mendes,canadian pop,2019,117,54,76,-6,9,75,191,4,3,95,0
